,NDC-SEM,SEM-UCB,FTRL,CUCB,Random,CTS,CUCB-SW
0,3.0,3.0,1.0,0.0,2.0,1.0,2.143311143176819
1,2.0,2.0,2.0,2.0,1.487637964345791,2.0,2.291081856900391
2,1.0,1.0,2.0,2.0,2.0,2.0,2.167325709182269
3,0.0,0.0,0.0,0.0,1.0,0.0,2.167325709182269
4,0.0,0.0,0.4204024547408891,0.4204024547408891,2.0,0.4204024547408891,1.4082042247993898
5,0.0,1.0,3.0,3.0,0.5825749163495404,3.0,0.7504437494471325
6,1.0,2.0,2.0,2.0,2.0,2.0,0.8232133814294986
7,2.0,2.0,2.0,2.0,1.0,2.0,1.4635234508622075
8,2.0,2.0,2.0,2.0,3.0,2.0,2.1609583221817266
9,1.0,2.0,1.0,1.0,2.0,1.0,2.1609583221817266
10,2.0,2.0,-3.4683144803096564,2.0,2.0,1.0,2.1609583221817266
11,4.0,4.0,2.0,4.0,3.0,3.0,2.1609583221817266
12,2.0,2.0,2.0,1.487637964345791,2.0,1.0,2.1609583221817266
13,3.0,3.0,2.0,2.5825749163495404,2.0,3.0,2.013187608458155
14,-1.4683144803096564,0.0,2.0,-3.885739563960115,-2.4683144803096564,1.5825749163495404,2.1609583221817266
15,-3.047912025568767,-0.9970226289095709,-3.885739563960115,-0.5795975452591109,-0.4174250836504596,-1.4683144803096555,2.1609583221817266
16,2.0,2.0,3.0,2.0,2.0,2.0,2.1609583221817266
17,2.0,1.0,2.0,3.0,2.0,1.0,2.1609583221817266
18,0.4876379643457911,-2.9806765159638644,2.0,-1.4683144803096555,2.0,4.0,2.1609583221817266
19,2.0,3.0,1.0,3.0,2.0,2.0,2.013187608458155
20,2.0,4.0,2.0,3.0,3.0,3.0,2.0927234322534325
21,0.0,1.0,1.0,1.0,1.0,1.0,2.0927234322534325
22,-0.5795975452591109,-0.5795975452591109,0.4204024547408891,-0.5123620356542089,-1.0,0.4204024547408891,2.0927234322534325
23,2.0,2.0,2.0,1.0,2.0,2.0,1.3336019478705539
24,-2.4683144803096555,-2.4683144803096564,-2.4683144803096555,1.0,-3.4683144803096564,0.0,1.3889211739333711
25,2.0,1.0,3.0,1.0,3.0,3.0,1.3889211739333711
26,1.0,2.0,2.0,2.0,2.0,3.0,1.316151541951005
27,-2.4683144803096555,0.4204024547408891,0.4204024547408891,1.0,0.4204024547408891,-3.4683144803096555,1.423465249948832
28,2.0,0.5825749163495404,2.0,1.487637964345791,-0.9297871193046685,3.0,2.1369437561762767
29,2.0,2.0,2.0,2.0,2.0,2.0,2.1369437561762767
30,2.0,2.0,3.0,2.0,3.0,1.0,2.1369437561762767
31,1.0,0.0,2.0,2.0,1.0,1.0,2.1369437561762767
32,1.0,2.0,2.0,1.0,1.0,1.0,2.1369437561762767
33,0.4876379643457911,0.4876379643457911,1.487637964345791,1.0,1.0,1.487637964345791,2.1369437561762767
34,2.0,3.0,2.0,3.0,2.0,3.0,2.143311143176819
35,0.4876379643457911,1.0,2.0,1.0,2.0,3.0,2.143311143176819
36,2.0,2.0,2.0,2.0,2.0,2.0,2.143311143176819
37,1.0,2.0,3.0,2.0,2.0,1.0,2.013187608458155
38,2.0,3.0,1.0,2.0,2.0,1.0,1.423465249948832
39,1.0,1.5825749163495404,1.5825749163495404,2.0,1.5825749163495404,-0.9970226289095709,1.4395088848567577
40,1.5825749163495404,1.5825749163495404,0.5825749163495404,2.0,2.5825749163495404,4.0,0.6871535922867902
41,3.0,3.0,2.0,3.0,3.0,3.0,2.1369437561762767
42,0.4876379643457911,2.0,0.0,0.4876379643457911,1.0,1.0,2.1369437561762767
43,0.0,0.4204024547408891,1.0,1.420402454740889,1.0,2.0,2.1369437561762767
44,3.0,3.0,2.0,2.0,3.0,1.0,2.1369437561762767
45,2.0,0.0,2.0,2.0,2.0,2.0,2.1369437561762767
46,1.0,1.0,1.487637964345791,0.0,1.0,1.0,2.1369437561762767
47,0.5825749163495404,-3.4683144803096564,-3.885739563960115,1.0,1.0,1.0,2.143311143176819
48,1.0,1.0,2.0,1.0,0.0,1.0,2.143311143176819
49,0.0,3.0,3.0,1.0,3.0,2.0,2.143311143176819
50,2.0,2.0,1.0,3.0,2.0,1.0,2.143311143176819
51,-2.4683144803096564,2.0,4.0,2.0,-2.4683144803096555,-2.4683144803096564,2.143311143176819
52,-0.5123620356542089,-0.4174250836504596,0.0,-0.5123620356542089,2.0,-0.4174250836504596,2.143311143176819
53,2.0,2.0,3.0,1.0,3.0,1.0,1.5776033506729463
54,2.0,1.0,3.0,3.0,4.0,3.0,1.4635234508622075
55,-2.4683144803096564,0.0,2.0,-1.4683144803096555,2.0,-2.4683144803096555,1.3907538188798414
56,2.0,1.0,2.0,2.0,2.0,2.0,1.4082042247993898
57,3.0,2.0,3.0,1.0,2.0,2.0,2.1609583221817266
58,1.420402454740889,2.0,1.420402454740889,1.0,2.0,1.0,2.1609583221817266
